id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
11,"@Yuki-yuuji-","Legend never dies❤","Ugx2n4ojOeWRL5ydvzJ4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugx2n4ojOeWRL5ydvzJ4AaABAg","2024-04-27 14:15:48",0,"Legend never dies❤","http://www.youtube.com/@Yuki-yuuji-",
12,"@IhirweHyacinthe","Wonderful hit","UgwRSXGLif35BCkXAOZ4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgwRSXGLif35BCkXAOZ4AaABAg","2024-04-27 06:53:42",0,"Wonderful hit","http://www.youtube.com/@IhirweHyacinthe",
13,"@andysmetrotrainvlogs8163","I Do Love  Like Listening To Alan Walker’s Musician on Spotify And I Like That Singer Alan Walker’s 🎵 🎶","UgwTPcfDO6prWun1T0Z4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgwTPcfDO6prWun1T0Z4AaABAg","2024-04-27 04:32:00",0,"I Do Love  Like Listening To Alan Walker’s Musician on Spotify And I Like That Singer Alan Walker’s 🎵 🎶","http://www.youtube.com/@andysmetrotrainvlogs8163",
14,"@AkshayKumar-vi9sx","❤❤❤❤❤","UgyDyvXdrG4Gef6bdz14AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgyDyvXdrG4Gef6bdz14AaABAg","2024-04-27 03:54:18",0,"❤❤❤❤❤","http://www.youtube.com/@AkshayKumar-vi9sx",
15,"@user-je1rc4gt3d","Very good","UgzbR3HcE-P0MsSi7eJ4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzbR3HcE-P0MsSi7eJ4AaABAg","2024-04-27 01:09:24",0,"Very good","http://www.youtube.com/@user-je1rc4gt3d",
16,"@user-qt8bm5pj9j","❤🎉thanks for 🎉","Ugz4xAT-htMwQp2cKzJ4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugz4xAT-htMwQp2cKzJ4AaABAg","2024-04-27 01:05:07",0,"❤🎉thanks for 🎉","http://www.youtube.com/@user-qt8bm5pj9j",
17,"@cristine2864","Almost all of my favorite songs are made by Alan Walker!!","UgxJPFN3bK_MLzH3i414AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxJPFN3bK_MLzH3i414AaABAg","2024-04-26 22:31:04",0,"Almost all of my favorite songs are made by Alan Walker!!","http://www.youtube.com/@cristine2864",
18,"@FreimariHernandez-il8gu","😢","UgzB622UdDDdeaY39k94AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzB622UdDDdeaY39k94AaABAg","2024-04-26 19:58:36",0,"😢","http://www.youtube.com/@FreimariHernandez-il8gu",
19,"@EdwardLeonardo-vm1my","❤❤❤❤","UgzB5pwEpyIOuZdUJ9V4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzB5pwEpyIOuZdUJ9V4AaABAg","2024-04-26 16:54:54",0,"❤❤❤❤","http://www.youtube.com/@EdwardLeonardo-vm1my",
20,"@EdwardLeonardo-vm1my","The biss song ❤❤❤","Ugxe09o3plMvq3jgWUt4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugxe09o3plMvq3jgWUt4AaABAg","2024-04-26 16:54:40",0,"The biss song ❤❤❤","http://www.youtube.com/@EdwardLeonardo-vm1my",
21,"@anhtuyettrinh7121","Tôi là fan hâm mộ của những bài hát","Ugz8HwyzMSHkRHJULgZ4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugz8HwyzMSHkRHJULgZ4AaABAg","2024-04-26 11:32:56",0,"Tôi là fan hâm mộ của những bài hát","http://www.youtube.com/@anhtuyettrinh7121",
22,"@anhtuyettrinh7121","Nó hay đến nỗi tôi muốn xem nó cả đời vậy🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😮","UgzBTArlA799X7LnkQN4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzBTArlA799X7LnkQN4AaABAg","2024-04-26 11:32:11",0,"Nó hay đến nỗi tôi muốn xem nó cả đời vậy🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😮","http://www.youtube.com/@anhtuyettrinh7121",
23,"@anhtuyettrinh7121","Nó hay đến nỗi tôi muốn xem nó cả đời vậy🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉","UgwO9_0SrMK8ml3loNh4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgwO9_0SrMK8ml3loNh4AaABAg","2024-04-26 11:31:59",0,"Nó hay đến nỗi tôi muốn xem nó cả đời vậy🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉","http://www.youtube.com/@anhtuyettrinh7121",
24,"@anhtuyettrinh7121","🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤tôi thực sự thích những bài hát của alan Walker. Nó thực sự rất hay😮😮😮😮","UgxtDq4gFIIDJtZPtBh4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxtDq4gFIIDJtZPtBh4AaABAg","2024-04-26 11:30:27",0,"🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤tôi thực sự thích những bài hát của alan Walker. Nó thực sự rất hay😮😮😮😮","http://www.youtube.com/@anhtuyettrinh7121",
25,"@anhtuyettrinh7121","Bài hát hay nhất tôi từng thấy","UgxzEWqXC7W1TK2ZJwp4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxzEWqXC7W1TK2ZJwp4AaABAg","2024-04-26 11:28:32",0,"Bài hát hay nhất tôi từng thấy","http://www.youtube.com/@anhtuyettrinh7121",
26,"@SandriyaFernando-ce9bj","❤ I LIKE YOUR SONGS ❤️","UgzIUs7i4WwRLOeoTaR4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzIUs7i4WwRLOeoTaR4AaABAg","2024-04-26 03:16:01",0,"❤ I LIKE YOUR SONGS ❤️","http://www.youtube.com/@SandriyaFernando-ce9bj",
27,"@EdwardLeonardo-vm1my","Ejei","UgyeCpR_4sdfWeSlN-14AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgyeCpR_4sdfWeSlN-14AaABAg","2024-04-25 21:52:03",0,"Ejei","http://www.youtube.com/@EdwardLeonardo-vm1my",
28,"@denishkiawe6783","I love Alan❤❤","UgyJRKUf_Yl9z4WT7Zt4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgyJRKUf_Yl9z4WT7Zt4AaABAg","2024-04-25 13:46:56",0,"I love Alan❤❤","http://www.youtube.com/@denishkiawe6783",
29,"@user-eo1uu9ff6k","😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍😍😍🥰😍🥰😍😇😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰🤩😘😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰","Ugx4Sa0rKSfOqF0FFjF4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugx4Sa0rKSfOqF0FFjF4AaABAg","2024-04-25 13:43:32",0,"😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍😍😍🥰😍🥰😍😇😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰🤩😘😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰😍🥰","http://www.youtube.com/@user-eo1uu9ff6k",
30,"@josiebercero","❤❤❤❤❤🎉🎉🎉🎉 good keep the good job love you","Ugxte2yEA6li2Z_r6YV4AaABAg","",2,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugxte2yEA6li2Z_r6YV4AaABAg","2024-04-25 10:08:37",0,"❤❤❤❤❤🎉🎉🎉🎉 good keep the good job love you","http://www.youtube.com/@josiebercero",
31,"@user-kg5oj4xo7x","Respect for Alan walker","UgxmVv87luJz3ncjtLp4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxmVv87luJz3ncjtLp4AaABAg","2024-04-25 09:49:47",0,"Respect for Alan walker","http://www.youtube.com/@user-kg5oj4xo7x",
32,"@PhamNhi-wd9rc","l love alan walker","Ugwtg7QuINzW4eB0_6p4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugwtg7QuINzW4eB0_6p4AaABAg","2024-04-25 08:59:02",0,"l love alan walker","http://www.youtube.com/@PhamNhi-wd9rc",
33,"@andysmetrotrainvlogs8163","What Is The Greatest Singer 🧑‍🎤 About That Guy Alan Walker Who Does Play Piano And Makes Music","UgwW2RCHoMW2Gnfka314AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgwW2RCHoMW2Gnfka314AaABAg","2024-04-25 06:06:03",0,"What Is The Greatest Singer 🧑‍🎤 About That Guy Alan Walker Who Does Play Piano And Makes Music","http://www.youtube.com/@andysmetrotrainvlogs8163",
34,"@XuyenChan","🎉🎉","UgwMCOhfkl5oAEhQKgV4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgwMCOhfkl5oAEhQKgV4AaABAg","2024-04-25 05:05:03",0,"🎉🎉","http://www.youtube.com/@XuyenChan",
35,"@royamani9015","Alan walker you\'re the best","UgwBP-30bSk5KrdswFp4AaABAg","",4,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgwBP-30bSk5KrdswFp4AaABAg","2024-04-25 04:51:03",0,"Alan walker you\'re the best","http://www.youtube.com/@royamani9015",
36,"@user-uv6dq9rh1p","its making me cry","Ugz9MDHMxY8QVMMfAD54AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugz9MDHMxY8QVMMfAD54AaABAg","2024-04-25 04:23:11",0,"its making me cry","http://www.youtube.com/@user-uv6dq9rh1p",
37,"@Ntist_ST","Alan u r a GOD of my life. u made my everyday.. i hope u\'ll.. love u and respect.","UgyM_i6UG02nrxNkYOB4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgyM_i6UG02nrxNkYOB4AaABAg","2024-04-25 02:25:23",0,"Alan u r a GOD of my life. u made my everyday.. i hope u\'ll.. love u and respect.","http://www.youtube.com/@Ntist_ST",
38,"@DaliaArango-cz6jp","Me gusta ❤❤❤❤❤","UgxJ0NXu00RILq9e6uF4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxJ0NXu00RILq9e6uF4AaABAg","2024-04-24 18:21:25",0,"Me gusta ❤❤❤❤❤","http://www.youtube.com/@DaliaArango-cz6jp",
39,"@IsmarayRodriguez-vv5jt","Love Alan Walker","Ugy8fJTU-FBAVmbtZsZ4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugy8fJTU-FBAVmbtZsZ4AaABAg","2024-04-24 14:17:19",0,"Love Alan Walker","http://www.youtube.com/@IsmarayRodriguez-vv5jt",
40,"@dwiptiranjannayak3436","Every like on this comment will remind me of these songs","Ugy8JF8KdB8UQQqtrSd4AaABAg","",2,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugy8JF8KdB8UQQqtrSd4AaABAg","2024-04-24 12:58:33",0,"Every like on this comment will remind me of these songs","http://www.youtube.com/@dwiptiranjannayak3436",
41,"@NIRJFollowMeMinistries","Legendary","UgyeH1w6xgKkFxi1nmR4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgyeH1w6xgKkFxi1nmR4AaABAg","2024-04-24 12:05:46",0,"Legendary","http://www.youtube.com/@NIRJFollowMeMinistries",
42,"@BrestBaneBatacandulo","i love you alan walker.","Ugx1H_K3Hy0NO1yHcLx4AaABAg","",2,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugx1H_K3Hy0NO1yHcLx4AaABAg","2024-04-24 08:39:23",0,"i love you alan walker.","http://www.youtube.com/@BrestBaneBatacandulo",
43,"@EmmaShahaman","Where\'s the lily song Where\'s the lily song","UgxSE5y_-yZfhKWHv7h4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxSE5y_-yZfhKWHv7h4AaABAg","2024-04-24 07:53:18",0,"Where\'s the lily song Where\'s the lily song","http://www.youtube.com/@EmmaShahaman",
44,"@MercyW-pe7fk","P.ll...lll.0l km k9 loom pm","Ugxk1LBXQWkpRk9XI5Z4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugxk1LBXQWkpRk9XI5Z4AaABAg","2024-04-24 05:00:34",0,"P.ll...lll.0l km k9 loom pm","http://www.youtube.com/@MercyW-pe7fk",
45,"@dani655g","Alan walker soy tu fan ❤❤❤","UgzwwiFUci0pRSXrXON4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzwwiFUci0pRSXrXON4AaABAg","2024-04-23 12:17:48",0,"Alan walker soy tu fan ❤❤❤","http://www.youtube.com/@dani655g",
46,"@HepRymmai","Good ❤❤❤","UgzrmpmeGyDSgaEyuIZ4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzrmpmeGyDSgaEyuIZ4AaABAg","2024-04-23 11:07:17",0,"Good ❤❤❤","http://www.youtube.com/@HepRymmai",
47,"@MrGaweshakaya","I love alan walkar song❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤","UgyuIZEO_DmSLxJ3qId4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgyuIZEO_DmSLxJ3qId4AaABAg","2024-04-23 10:58:19",0,"I love alan walkar song❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤","http://www.youtube.com/@MrGaweshakaya",
48,"@vennyyustin4845","ampe merinding bulu kuduk dengar suara putri, jernih bersih spti orgnya , love","Ugx_lQiSpB3aPQ5fmgN4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugx_lQiSpB3aPQ5fmgN4AaABAg","2024-04-23 09:14:57",0,"ampe merinding bulu kuduk dengar suara putri, jernih bersih spti orgnya , love","http://www.youtube.com/@vennyyustin4845",
49,"@astechcompanylimited4476","alan walker is king🗽","UgxzKt3DQ5CZ-LHSXKN4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxzKt3DQ5CZ-LHSXKN4AaABAg","2024-04-23 07:30:39",0,"alan walker is king🗽","http://www.youtube.com/@astechcompanylimited4476",
50,"@astechcompanylimited4476","i love alan walker but where is lily","UgyEwyFhXrehwrJ2W1F4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgyEwyFhXrehwrJ2W1F4AaABAg","2024-04-23 07:28:51",0,"i love alan walker but where is lily","http://www.youtube.com/@astechcompanylimited4476",
51,"@Mutuku-nn3sg","I want to be like Alan Walker ❤❤❤❤","UgydNHA6_Df1MmJ5UrR4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgydNHA6_Df1MmJ5UrR4AaABAg","2024-04-23 06:45:22",0,"I want to be like Alan Walker ❤❤❤❤","http://www.youtube.com/@Mutuku-nn3sg",
52,"@user-rx9is7zg7k","Sweetest Album ever","UgzTy7IOAWMLoQy1k9V4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgzTy7IOAWMLoQy1k9V4AaABAg","2024-04-23 04:57:08",0,"Sweetest Album ever","http://www.youtube.com/@user-rx9is7zg7k",
53,"@rukeshshrestha5154","👇 if you love alan walkers songs","Ugw6VAPnxHuUk-Z-5uZ4AaABAg","",2,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugw6VAPnxHuUk-Z-5uZ4AaABAg","2024-04-23 03:29:25",0,"👇 if you love alan walkers songs","http://www.youtube.com/@rukeshshrestha5154",
54,"@Fikri-sz5zq","Remember this song when going to or coming home from Riau","Ugy47b40JGw7YABLlBB4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugy47b40JGw7YABLlBB4AaABAg","2024-04-23 03:04:50",0,"Remember this song when going to or coming home from Riau","http://www.youtube.com/@Fikri-sz5zq",
55,"@DewmiDewmi-cd3pb","Alan walker love you and songs❤❤❤","UgxNdXZS-ovuP65gcJt4AaABAg","",0,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=UgxNdXZS-ovuP65gcJt4AaABAg","2024-04-23 01:26:10",0,"Alan walker love you and songs❤❤❤","http://www.youtube.com/@DewmiDewmi-cd3pb",
56,"@k4elll_","hi all 😂😂🎉","Ugw7ZBy_JEjoilqmpJN4AaABAg","",1,"https://www.youtube.com/watch?v=mjO1yZyi6bM&lc=Ugw7ZBy_JEjoilqmpJN4AaABAg","2024-04-22 19:46:00",0,"hi all 😂😂🎉","http://www.youtube.com/@k4elll_",
